Task ID,Supplier ID,Cost
T34,S1,0.47821880135047656
T34,S2,0.4445429249932034
T34,S3,0.5216787105146637
T34,S4,0.30733078264366853
T34,S5,0.3576892358748402
T34,S6,0.3519816270863595
T34,S7,0.30381275881901415
T34,S8,0.3254270282309336
T34,S9,0.35902418913815004
T34,S10,0.3319532940151819
T34,S11,0.33436311534331303
T34,S12,0.3135094479090722
T34,S13,0.30940254216881913
T34,S14,0.32066318703151153
T34,S15,0.30769182440334675
T34,S16,0.4263324149987413
T34,S17,0.3495141630852286
T34,S18,0.32620487546552845
T34,S19,0.31625422601910874
T34,S20,0.4312827445021723
T34,S21,0.4219877733619788
T34,S22,0.3550490420753032
T34,S23,0.3435410152603297
T34,S24,0.2963876995547112
T34,S25,0.4002199747989197
T34,S26,0.41972860082775065
T34,S27,0.31743220944491857
T34,S28,0.3296725515467963
T34,S29,0.3138580961952585
T34,S30,0.34510507576277205
T34,S31,0.34338984389855165
T34,S32,0.3023937299852497
T34,S33,0.3265056593026145
T34,S34,0.31358712503221686
T34,S35,0.3310074199775336
T34,S36,0.483955989534817
T34,S37,0.3526402974675871
T34,S38,0.36542441060388453
T34,S39,0.3282360049772237
T34,S40,0.29392541575402253
T34,S41,0.31441017325082843
T34,S42,0.34888663596482195
T34,S43,0.32708363408061747
T34,S44,0.3727925528402723
T34,S45,0.34468902140647273
T34,S46,0.32076331393510044
T34,S47,0.30903146184802166
T34,S48,0.35528604322158897
T34,S49,0.3235645261963475
T34,S50,0.34130367330690226
T34,S51,0.32411293567575855
T34,S52,0.34370974160273127
T34,S53,0.33903924995003265
T34,S54,0.31526179295900925
T34,S55,0.3590311807694806
T34,S56,0.30221324256517923
T34,S57,0.2909672921417024
T34,S58,0.3998894116412929
T34,S59,0.3714704005992864
T34,S60,0.46098807359420657
T34,S61,0.3342430684449227
T34,S62,0.36254036099542086
T34,S63,0.3262960366052033
T34,S64,0.33297521190034046
T35,S1,0.4077841554262511
T35,S2,0.3903434343183243
T35,S3,0.3897832266235465
T35,S4,0.29731966893378037
T35,S5,0.3247142874904442
T35,S6,0.30417526265739625
T35,S7,0.3113818190045694
T35,S8,0.2997984082737931
T35,S9,0.30737047934143785
T35,S10,0.3271532069799915
T35,S11,0.33231622648117676
T35,S12,0.32478124385012286
T35,S13,0.31041890915167414
T35,S14,0.2891723304369108
T35,S15,0.3240124223532344
T35,S16,0.32107244134096297
T35,S17,0.31520549157717037
T35,S18,0.3071654261395209
T35,S19,0.28375154470994657
T35,S20,0.31315265938034703
T35,S21,0.3214131348785735
T35,S22,0.31391932362452
T35,S23,0.33071409793347334
T35,S24,0.3289059304026952
T35,S25,0.3127994726207476
T35,S26,0.34787376019112437
T35,S27,0.3086550540694478
T35,S28,0.32353654069126053
T35,S29,0.3245800122429555
T35,S30,0.2850431695773312
T35,S31,0.31713120370663694
T35,S32,0.2999228606803125
T35,S33,0.3217843995311944
T35,S34,0.31570167617724043
T35,S35,0.3071739784508179
T35,S36,0.3453884493331846
T35,S37,0.306547939251667
T35,S38,0.30120513095658824
T35,S39,0.3125341246635085
T35,S40,0.3063065803034417
T35,S41,0.3134644042071717
T35,S42,0.3171181483267019
T35,S43,0.2942857880758505
T35,S44,0.3068749934836194
T35,S45,0.30839355932093937
T35,S46,0.33790862024053286
T35,S47,0.3312222921900365
T35,S48,0.3179997127491333
T35,S49,0.2934060623918414
T35,S50,0.31210048022590464
T35,S51,0.33090467803985846
T35,S52,0.32207968727310476
T35,S53,0.3331937395089919
T35,S54,0.3105222176929342
T35,S55,0.32779720921398076
T35,S56,0.3140177404037051
T35,S57,0.29282294405402415
T35,S58,0.31069718363660115
T35,S59,0.29847630988554963
T35,S60,0.332458128102617
T35,S61,0.3072144212030068
